timestamp,open,high,low,close,volume
2016-01-02,434.0,434.9,430.3,434.9,26.28577877
2016-01-03,434.4,434.4,422.9,426.5,23.61102955
2016-01-04,427.7,433.9,426.5,431.0,40.55708514
2016-01-05,431.0,434.7,429.0,431.3,34.0820651
2016-01-06,431.3,431.3,427.5,429.9,20.04790497
2016-01-07,428.5,457.8,427.7,457.8,132.76454268
2016-01-08,457.9,460.0,447.6,455.2,110.71757655
2016-01-09,452.8,459.8,450.0,451.3,84.78387588
2016-01-10,450.0,450.0,442.0,449.1,41.10268529
2016-01-11,449.8,454.5,443.8,452.2,110.19949601
2016-01-12,451.3,451.3,440.0,440.0,157.47728475
2016-01-13,440.0,455.0,427.1,433.9,180.79213732
2016-01-14,433.0,436.1,430.0,430.5,41.65383729
2016-01-15,430.5,430.9,364.4,364.4,629.53449789
2016-01-16,364.4,392.5,351.7,390.3,448.12802843
2016-01-17,390.3,395.0,381.6,381.9,133.94492996
2016-01-18,383.5,391.8,376.5,390.1,242.46775097
2016-01-19,390.9,390.9,379.0,381.1,68.61650783
2016-01-20,381.0,417.0,375.9,416.2,689.84606316
2016-01-21,419.0,425.7,406.0,412.3,730.23462389
2016-01-22,410.6,411.1,378.7,383.2,480.64577735
2016-01-23,384.2,395.0,381.3,385.8,387.82846078
2016-01-24,387.9,404.9,386.5,403.6,553.19015018
2016-01-25,401.2,401.2,387.1,394.0,473.13315726
2016-01-26,393.3,406.6,390.4,395.9,709.36995262
2016-01-27,395.9,401.4,393.1,395.3,200.92198808
2016-01-28,396.5,397.8,376.9,380.0,289.4402917
2016-01-29,380.0,385.6,365.0,379.9,613.79043538
2016-01-30,379.9,382.4,376.1,378.0,205.39783289
2016-01-31,379.2,380.9,366.1,369.1,209.20134691
2016-02-01,369.1,379.9,366.1,372.1,455.12132909
2016-02-02,372.1,376.6,372.0,373.4,361.86236674
2016-02-03,372.4,373.5,365.7,368.1,173.70858923
2016-02-04,368.6,392.0,368.6,389.7,381.75917223
2016-02-05,389.7,390.5,382.4,387.2,474.67870446
2016-02-06,384.0,384.9,367.7,375.7,414.89740118
2016-02-07,375.7,381.2,371.5,372.1,167.55667176
2016-02-08,373.7,377.7,371.6,373.4,443.17404046
2016-02-09,371.9,381.3,371.2,374.4,682.94857292
2016-02-10,374.9,384.7,371.7,380.0,1174.18769857
2016-02-11,380.0,383.9,373.6,377.7,1162.74358004
2016-02-12,377.7,383.4,375.7,380.9,977.51909123
2016-02-13,381.4,391.1,380.9,390.0,741.58743493
2016-02-14,390.9,407.3,388.7,404.7,656.22181722
2016-02-15,404.7,409.3,392.0,392.0,676.38920721
2016-02-16,395.9,408.6,390.1,405.5,1024.48791176
2016-02-17,405.2,420.5,403.0,413.8,1032.68526985
2016-02-18,413.4,424.7,411.4,421.1,820.85664481
2016-02-19,420.0,421.0,413.1,417.5,440.14894027
2016-02-20,418.4,442.0,418.2,435.0,1137.48099201
2016-02-21,436.1,443.9,422.4,432.0,761.99692452
2016-02-22,431.2,437.1,422.0,433.5,917.76519553
2016-02-23,431.8,437.1,414.2,417.4,1151.18727638
