timestamp,open,high,low,close,volume
2017-04-12,66.85,79.999,66.0,71.5,911.78909312
2017-04-13,72.35,78.7,66.003,73.0,2802.68456632
2017-04-14,73.5,74.994,69.002,72.297,1334.17694921
2017-04-15,72.249,78.7,69.275,75.969,827.78757882
2017-04-16,75.96,76.979,74.0,76.392,308.05094067
2017-04-17,76.329,77.499,74.5,76.199,959.7441696
2017-04-18,76.119,77.458,70.783,72.998,865.14643321
2017-04-19,72.999,75.424,72.006,72.006,221.0488436
2017-04-20,73.522,73.522,70.239,71.8,299.39065429
2017-04-21,71.8,72.8,70.397,71.889,236.45118928
2017-04-22,72.603,73.0,70.758,71.102,480.56136783
2017-04-23,72.959,72.959,70.211,71.024,493.3294942
2017-04-24,70.243,72.3,70.0,72.3,348.40105524
2017-04-25,72.0,73.999,70.829,72.091,884.87742494
2017-04-26,72.093,72.978,71.0,72.1,295.65550834
2017-04-27,72.5,82.0,70.668,78.616,1310.11559726
2017-04-28,81.571,81.571,72.222,80.5,1997.26550825
2017-04-29,80.5,102.201,80.5,94.069,1906.47460984
2017-04-30,93.5,98.011,89.999,92.829,802.27434873
2017-05-01,90.024,96.0,83.0,83.0,1042.81562405
2017-05-02,87.149,89.754,82.9,87.976,638.50058237
2017-05-03,87.955,92.61,83.937,90.0,2146.37983293
2017-05-04,92.114,97.899,88.856,90.407,2533.27906532
2017-05-05,93.199,104.899,90.417,98.345,2014.36253671
2017-05-06,99.717,101.793,94.0,98.876,331.67612513
2017-05-07,96.0,109.499,95.253,100.879,804.1608689
2017-05-08,103.579,103.579,91.659,99.199,1603.26323641
2017-05-09,96.2,101.499,77.5,90.03,2264.16435853
2017-05-10,91.301,95.999,89.0,92.0,889.44139515
2017-05-11,91.75,94.1,89.011,91.991,458.302038
2017-05-12,89.805,92.0,84.0,88.048,948.10594158
2017-05-13,84.85,89.5,81.645,88.009,957.10104513
2017-05-14,89.989,95.412,88.463,89.25,787.45917693
2017-05-15,89.3,92.11,81.999,92.11,844.05972029
2017-05-16,91.5,91.5,85.914,87.929,928.08958572
2017-05-17,87.926,88.0,78.0,84.722,3451.81093364
2017-05-18,83.016,90.943,82.433,90.599,2425.47465992
2017-05-19,89.9,100.998,87.423,98.649,1225.69948325
2017-05-20,98.619,105.791,97.741,99.377,1168.65825604
2017-05-21,99.346,101.572,96.861,101.572,1120.5858591
2017-05-22,98.517,145.0,92.0,116.661,5056.68692917
2017-05-23,114.321,138.277,114.321,129.024,3197.43173283
2017-05-24,133.842,149.95,133.842,145.233,3046.26874612
2017-05-25,145.5,145.5,116.049,116.453,5536.13500629
2017-05-26,117.0,139.879,107.452,111.101,2622.92020408
2017-05-27,115.435,122.956,84.999,98.872,2658.70438071
2017-05-28,98.234,118.439,98.234,106.1,2495.88537087
2017-05-29,106.12,121.345,103.575,115.0,1169.90580601
2017-05-30,115.957,127.999,112.916,116.35,1644.63630214
2017-05-31,124.114,144.279,116.504,137.37,2256.66645959
2017-06-01,140.64,150.0,130.7,135.762,2399.25171849
2017-06-02,137.379,147.796,137.123,143.5,1525.15617841
2017-06-03,147.799,151.499,143.5,147.468,1162.42007547
2017-06-04,143.786,147.382,140.076,144.4,1068.00878784
2017-06-05,144.938,147.014,141.0,147.005,2945.72778698
2017-06-06,147.002,148.97,130.0,145.0,2361.87989382
2017-06-07,146.317,154.987,131.1,141.841,2837.06825504
2017-06-08,141.84,148.588,138.0,145.485,960.00107233
2017-06-09,146.063,150.998,144.874,147.022,1281.33312826
2017-06-10,147.023,152.648,145.119,146.046,1388.92479427
2017-06-11,149.551,199.999,146.211,188.222,2589.31395311
2017-06-12,185.0,196.486,147.0,167.268,5355.18579822
2017-06-13,167.023,184.999,161.001,183.112,2681.42558449
2017-06-14,183.111,193.0,144.96,160.0,3412.78013116
2017-06-15,158.003,165.894,132.5,160.356,4411.5567314
2017-06-16,159.9,168.0,150.0,162.6,1612.49040215
2017-06-17,160.0,187.0,158.369,179.8,1081.352031
2017-06-18,179.801,194.157,172.599,194.157,2636.1991457
2017-06-19,189.0,201.998,188.5,199.703,3847.36622269
2017-06-20,195.601,200.0,160.0,189.018,2944.03400789
2017-06-21,189.016,194.999,165.63,179.428,1262.72256487
2017-06-22,179.428,186.999,172.057,181.0,841.84129544
2017-06-23,181.0,190.72,181.0,188.44,1043.46811606
2017-06-24,184.399,188.428,175.0,175.006,669.84317734
2017-06-25,175.014,178.225,159.999,166.565,1017.64644056
2017-06-26,165.002,169.479,136.0,154.656,2177.62499437
2017-06-27,161.0,175.099,145.0,174.941,1601.03658737
2017-06-28,174.942,187.999,170.0,180.022,1321.49437145
2017-06-29,180.713,186.663,173.521,173.521,1787.42126479
2017-06-30,173.75,184.999,173.75,174.737,1147.91117275
2017-07-01,179.976,179.976,157.661,164.914,567.39024585
2017-07-02,164.906,178.954,161.966,173.0,1039.66877819
2017-07-03,173.0,182.0,170.755,181.988,978.21431282
2017-07-04,180.999,190.0,178.93,182.159,2099.08825946
2017-07-05,182.159,216.14,179.114,208.88,4279.05848893
2017-07-06,206.787,230.0,203.057,209.858,3953.85914442
2017-07-07,209.858,212.534,187.22,189.514,2052.23714153
2017-07-08,192.107,210.0,186.0,209.0,1498.24481011
2017-07-09,209.9,240.0,187.2,195.976,2225.21501001
2017-07-10,196.273,200.673,172.649,172.7,2541.52910835
2017-07-11,172.999,179.256,152.0,164.456,3971.66450312
2017-07-12,164.454,183.403,156.811,176.86,2173.47780244
2017-07-13,179.978,182.0,165.0,170.978,1344.55507006
2017-07-14,169.0,171.564,154.3,160.758,1486.64869078
2017-07-15,160.75,162.997,138.0,138.0,3736.96397582
2017-07-16,138.0,142.281,115.0,129.84,3797.31215772
2017-07-17,132.063,154.757,130.0,152.999,2230.66193783
2017-07-18,150.6,166.092,145.0,153.911,2674.53921052
2017-07-19,156.739,173.828,152.0,152.254,1776.74671152
2017-07-20,158.369,215.0,154.0,189.108,3766.84170956
2017-07-21,186.905,200.0,180.0,185.872,2341.41141924
2017-07-22,185.872,198.0,185.6,197.8,2008.34576538
2017-07-23,197.799,212.5,189.435,190.604,1232.69744575
2017-07-24,195.475,219.0,191.152,204.899,4536.81335198
2017-07-25,201.64,210.0,170.6,194.0,6578.86410403
2017-07-26,194.0,210.0,184.857,193.0,3591.74773924
2017-07-27,194.2,199.598,190.522,195.958,974.36647799
2017-07-28,195.503,198.467,181.0,184.17,2204.55858657
2017-07-29,184.172,188.425,167.3,185.44,2919.68459796
2017-07-30,187.74,187.817,171.945,175.418,1246.65483821
2017-07-31,175.832,180.0,170.515,178.5,841.04925756
2017-08-01,178.5,186.669,176.734,184.997,1669.89105598
2017-08-02,184.999,186.813,178.0,182.53,1908.07567915
2017-08-03,182.53,192.999,178.05,187.999,1348.84047515
2017-08-04,187.999,196.8,186.272,191.497,2663.26326245
2017-08-05,188.002,198.304,186.177,193.0,2290.03232015
2017-08-06,192.123,196.999,187.8,187.8,1052.36417887
2017-08-07,187.801,209.323,187.8,198.4,2093.59961594
2017-08-08,198.398,205.0,194.485,204.0,1625.86952364
2017-08-09,204.0,209.0,197.272,205.989,1538.00995383
2017-08-10,202.793,210.0,201.023,206.203,1192.67994034
2017-08-11,206.203,214.998,200.0,210.145,1622.34588864
2017-08-12,207.502,212.2,201.5,203.291,1210.10988607
2017-08-13,203.891,212.2,195.798,198.997,1399.36166318
2017-08-14,198.994,203.299,195.0,200.0,1855.5469804
2017-08-15,200.0,207.985,192.0,205.0,1518.18743111
2017-08-16,205.0,249.0,200.0,231.901,3804.95933322
2017-08-17,231.902,262.0,229.079,240.0,3318.21524314
2017-08-18,239.8,249.9,214.9,236.545,1179.57780451
2017-08-19,222.622,360.0,217.2,310.0,3733.31534278
2017-08-20,310.0,339.0,264.0,293.99,2793.46998912
2017-08-21,294.0,303.318,280.0,281.08,705.08310502
2017-08-22,281.08,300.0,267.0,299.949,1872.98844212
2017-08-23,290.017,309.0,290.0,292.848,1624.94520242
