Date,AAPL,IBM,KO
1981-05-26,0.458258,5.9113620000000004,0.292879
1981-05-27,0.48391999999999996,6.095682,0.29782600000000004
1981-05-28,0.48391999999999996,6.108845,0.29584699999999997
1981-05-29,0.485753,6.187839,0.29584699999999997
1981-06-01,0.485753,6.345827,0.294858
1981-06-02,0.461924,6.30633,0.29189
1981-06-03,0.461924,6.227336,0.2909
1981-06-04,0.47108900000000004,6.108845,0.28991
1981-06-05,0.463757,6.148345,0.29189
1981-06-08,0.44726000000000005,6.135177,0.292879
1981-06-09,0.456425,6.043017,0.299552
1981-06-10,0.461924,6.095682,0.305584
1981-06-11,0.482087,6.214169999999999,0.31161500000000003
1981-06-12,0.476588,6.25367,0.319657
1981-06-15,0.47475500000000004,6.30633,0.319657
1981-06-16,0.46558999999999995,6.201003,0.305584
1981-06-17,0.458258,6.161511,0.305584
1981-06-18,0.456425,6.06935,0.300558
1981-06-19,0.44359399999999993,6.05618,0.296537
1981-06-22,0.42709600000000003,6.122014,0.2895
1981-06-23,0.434428,6.25367,0.28749
1981-06-24,0.42343000000000003,6.266833999999999,0.281459
1981-06-25,0.432595,6.214169999999999,0.278443
1981-06-26,0.42709600000000003,6.187839,0.278443
1981-06-29,0.41243199999999997,6.095682,0.278443
1981-06-30,0.38127,6.095682,0.279448
1981-07-01,0.377604,5.990355,0.277438
1981-07-02,0.377604,5.990355,0.277438
1981-07-06,0.364773,6.003525,0.273417
1981-07-07,0.36843899999999996,6.003525,0.270401
1981-07-08,0.383103,5.964023,0.270401
1981-07-09,0.353775,5.964023,0.271407
1981-07-10,0.32628,5.937693,0.273417
1981-07-13,0.33361199999999996,5.88503,0.277438
1981-07-14,0.34827600000000003,5.990355,0.271407
1981-07-15,0.357441,5.964023,0.271407
1981-07-16,0.366606,5.964023,0.271407
1981-07-17,0.37943699999999997,5.9113620000000004,0.271407
1981-07-20,0.353775,5.832369,0.267386
1981-07-21,0.35194200000000003,5.845535,0.265375
1981-07-22,0.331779,5.806037,0.261354
1981-07-23,0.340944,5.779708,0.26437
1981-07-24,0.35194200000000003,5.792873999999999,0.269396
1981-07-27,0.366606,5.858698,0.272412
1981-07-28,0.353775,5.832369,0.271407
1981-07-29,0.34827600000000003,5.832369,0.271407
1981-07-30,0.361107,5.937693,0.271407
1981-07-31,0.366606,5.9113620000000004,0.273417
1981-08-03,0.36294,5.9508589999999995,0.271407
1981-08-04,0.36843899999999996,6.135177,0.271407
1981-08-05,0.37943699999999997,6.148345,0.275427
1981-08-06,0.370272,6.079929,0.276433
1981-08-07,0.370272,6.093293,0.272412
1981-08-11,0.359274,6.280366000000001,0.273417
1981-08-12,0.35194200000000003,6.186826,0.274422
1981-08-13,0.340944,6.226915,0.274422
1981-08-14,0.335445,6.200191,0.273417
1981-08-17,0.324447,6.0665629999999995,0.270401
1981-08-18,0.317114,6.053205,0.267386
1981-08-19,0.313448,6.093293,0.265375
1981-08-20,0.317114,6.120012,0.26437
1981-08-21,0.295118,6.079929,0.265375
1981-08-24,0.27678800000000003,5.973028,0.258339
1981-08-25,0.28412,5.973028,0.256328
1981-08-26,0.278621,5.932938,0.258339
1981-08-27,0.280454,5.906213,0.259344
1981-08-28,0.295118,5.973028,0.26437
1981-08-31,0.295118,5.89285,0.263365
1981-09-01,0.313448,5.986393,0.259344
1981-09-02,0.318947,5.959664,0.259344
1981-09-03,0.30245,5.839404,0.253313
1981-09-04,0.298784,5.772588,0.255323
1981-09-08,0.289619,5.772588,0.253313
1981-09-09,0.289619,5.785954,0.258063
1981-09-10,0.291452,5.852771,0.259087
1981-09-11,0.287786,5.959664,0.26215900000000003
1981-09-14,0.278621,5.973028,0.261135
1981-09-15,0.271289,5.932938,0.26215900000000003
1981-09-16,0.26579,5.866128,0.26215900000000003
1981-09-17,0.258457,5.785954,0.264207
1981-09-18,0.26029,5.772588,0.268304
1981-09-21,0.26212399999999997,5.866128,0.263183
1981-09-22,0.247459,5.812679,0.26215900000000003
1981-09-23,0.24195999999999998,5.82604,0.259087
1981-09-24,0.240127,5.839404,0.26215900000000003
1981-09-25,0.20896599999999999,5.732505000000001,0.258063
1981-09-28,0.210798,5.866128,0.264207
1981-09-29,0.22179699999999997,5.692414,0.270352
1981-09-30,0.22363000000000002,5.785954,0.276496
1981-10-01,0.22363000000000002,5.772588,0.282641
1981-10-02,0.24195999999999998,5.879491000000001,0.28468899999999997
